  3540,  -376, -7016,  4482,   522,   816;
  4212, -1056, -1968,  6235, -2222,   670;
  4472,   -84,   276,  1720, -1849, -2262;
  5424,  -360,  2020, -1667, -2663, -1269;
  5260,  -140,  2316, -1820,  -236,   844;
  8884, -1364, 15831, -4043, 10475,  1642;
  4408,  -380,  -548, -1326,  3494,    12;
  6800,  -696,    72, -9525, -6378,  2382;
  5720, -3280,  5632,  1619, -2345, -1309;
  5644, -2116,  4012,  7443,   745, -1152;
  6972,   920, -2108,   552,  3884,  1729;
   436, -2616, -6916,  1773, -1318,  2911;
  4056,  2856, -9052, -5723,  2449, -2116;
  3576,    16, -2564, 11264, -4427, -3228;
  4240,  1292, -2532, 16855,  1268, -4656;
  2784,  1316,-10728, -4829,  1280,  -718;
  4152,  2380,  -672,  2820, -2394, -2062;
  5280,  2996,  1588, -8046, -5360,   946;
  6764,  2308, 15831,-14708,  3081,  4926;
  2012,  -112, -4600, -3205,   556,   867;
  3756,   124,  1988, -2790, -4534,  1545;
  4860, -1540,  2460, -1954, -5234,  1912;
  5912, -1392,  4668,  -321,   978, -2341;
  5828,  -308,  1068,  6395,  3474, -1494;
  2988,  -640, -1148,  3898,  -718,   689;
  3888,  1736, -4640, -1722,   973,  2035;
  3764,  -500, -3700,   673,  -916,   605;
  3080,  -432, -7204, 12235,   523, -4080;
  2544,   592, -2616,  5089,  2140, -3781;
  3152,  2328, -6608,   531, -3639, -1124;
  5368,  1192, -4368, -3070, -5310,  -198;
  6752,   536,  4976, -3247,   500,   275;
  6136,  2724,  1252,-10840,  4226,  2523;
  3348,  -368,  1216, -4249,   786,  1975;
  3712, -1420,   748,-15304,-11428,  5686;
  4812, -2216,  7772,  4865, -4724, -1556;
  5684, -1112,  2104,  3877,  -579, -3004;
  5244,  1320, -1656, -1155,   440,   453;
  3920,  -828, -7572, -1374,  1739,  1495;
  4256,  -320, -4392,  -894, -3258,   838;
  4000,   336, -3552, 14987,  3766, -4562;
  2708,  2396, -5352,  5456,   630, -1920;
  2152,  3708, -4400,  1375, -6055, -3406;
  5464,  1096,  4096, -2430, -5191, -2286;
  9904,  3720, 12596, -9163,   123,  1567;
  3644,  -696,  3472,  3205,  5135, -2789;
  2104,   572,   732,    -9,  -463, -1260;
  3052,   524,  3256, -2636,-12236,  7293;
  3060, -3620,  7096, -4555, -2202,  3823;
  2896, -2500,   864,  3075,  2377, -1269;
  4808,  1424, -2180,  6589, -4115,  2052;
  2664,   984, -5680, -4372,  4257,  3334;
  5376,  -500,   420, -3567, -4133, -3044;
  4068, -2332, -1944, 16229, -1419, -4715;
  2044,   180,   600,  6920,  4948, -1349;
  2520, -2088, -2476,  4017,  4046, -2349;
  2484, -3356, -1096, -2898, -4291, -2626;
  7000, -1116,  3332, -1519, -2288, -2652;
  8520,   512, 12552, -5870, -2133,  1347;
  5340, -1164,  1880, -2036,  6063,  1259;
  3172,  1228,   112, -1111,  6837, -1236;
  6000, -1948,  1840,  1110,-11473,  2684;
  3692, -3332,  5748,   880, -7673,  1915;
  9868,  2424,  7904, -2200, -4154,   399;
  6368,  -828,   908,  3212,   -43,  2990;
  2856,   -36, -8372,  2621,  1882,   954;
  4980,  -516, -5816,   -64, -3773,   -89;
  4520,   248,-11728,  4564, -2125, -1434;
  5652, -1124, -1300, -3155,  1505, -1161;
  4876,  7040,  -424, -7338,  -807,  -157;
  6332,  4240, -3948, -1891, -3570,   403;
  2424, -8676, 15831, -6869,  5971,  4089;
  4396,  -520,   220, -2734, -2881,   609;
  8156, -1600,  3212,  4165,-13516,   241;
  7300, -1492,  5560,  4303, -1277,  -937;
