  -108,    28,  -104,   -31,    18,     0;
  -120,     8,  -100,   -17,    13,     8;
   -56,    96,   -68,     1,    11,     8;
  -116,     0,   -96,     2,    17,    24;
  -108,    36,  -144,    -3,    -3,    14;
  -116,  -184,  -148,   -18,    -6,    20;
    64,   -56,  -188,   -14,    16,     3;
  -156,   -48,  -168,   -29,    10,    30;
   -96,    44,  -132,    -3,    19,    27;
  -128,    12,  -172,     4,    16,     5;
     0,   -52,  -160,     1,     9,    38;
   -68,   -16,  -164,   -16,    -2,    -7;
   -24,   120,  -160,   -21,     7,    18;
     0,   -48,  -156,   -18,    23,    10;
    28,   -48,   -96,     2,    21,    47;
   -92,   -76,   -72,     9,     6,    43;
   -28,     8,  -144,   -23,   -12,    18;
   -32,   -36,    44,     0,    35,    23;
   -68,    32,  -168,     9,    10,     2;
   -92,   -88,  -252,   -16,    15,    18;
  -132,   -48,  -100,    -9,    20,    20;
  -116,    56,  -264,   -21,    20,    17;
   -92,   -24,  -192,   -15,     7,     9;
   -68,     0,  -124,    -2,    12,     2;
   -44,   -16,  -140,    -6,    18,   -10;
   -40,   -32,   -64,   -25,     7,    -3;
   -76,   -24,  -180,   -15,    40,    14;
   -12,    32,  -228,    -8,     6,    39;
   -44,     8,  -204,   -12,    -5,    19;
   -36,    20,   -84,    -9,     6,     0;
   -72,   -16,   -52,    -4,     5,    17;
   -56,    40,  -224,   -15,    25,    14;
     0,    68,  -104,   -16,     5,    12;
  -108,     8,    44,   -17,     2,     1;
    68,    20,  -220,   -31,     8,    -2;
    -4,   -16,  -112,   -26,    25,    19;
    -8,   -68,  -112,   -24,    27,    19;
   -20,    20,   -72,    13,    12,     6;
     8,   -16,  -116,   -18,     8,    -2;
   -76,     4,  -296,   -19,    12,    12;
   -92,   -60,  -140,   -11,    -3,    38;
   -52,    12,   -28,   -22,    21,    32;
  -104,    -4,   -40,   -19,    14,    18;
   -64,   -44,   -92,    -6,   -10,    -6;
    16,   -84,  -216,   -21,     9,     8;
   -40,   -60,  -204,   -14,    39,    34;
  -124,     8,   -60,   -39,    22,    27;
  -124,   -28,  -116,   -16,    11,     1;
     8,   -84,  -168,    -5,    31,   -10;
    28,    44,  -204,   -34,    10,    18;
   -80,   -16,   -12,   -19,    -2,    33;
    56,   -24,  -116,   -24,     9,    33;
   -68,    20,  -128,   -13,     4,    22;
   -80,    40,  -168,   -20,     0,    25;
     0,   -56,  -116,   -14,    11,     7;
   -24,   -76,  -272,   -11,    19,     4;
  -112,    -4,  -148,    -6,   -13,     3;
   -88,   -56,  -172,    -1,     8,    -5;
  -108,   -44,   -28,   -39,    39,     4;
  -116,   -24,  -264,   -27,    -1,    29;
    20,   -40,  -188,    -2,    13,    21;
   -24,    56,   -64,    -6,    19,    26;
     0,   -20,  -188,   -24,    32,    21;
    28,    52,   -64,   -16,     2,     7;
   -76,    -8,  -260,    10,     9,     2;
   -20,   108,  -124,    -2,    18,     2;
    12,    -8,  -140,    -4,    12,    36;
    20,   -68,   -88,    -8,    -5,    31;
    -4,   -28,  -108,   -56,    -1,    29;
  -192,    24,  -176,   -42,    -5,    11;
  -128,    20,  -164,    -4,     6,    10;
   -40,   128,   -72,    -8,    17,     5;
   -32,   -28,   -32,     4,     3,    20;
  -144,   -32,   -44,   -27,   -11,    20;
    -8,    16,  -184,    -5,     7,    26;
     4,    36,   -84,   -24,    36,    37;
   -40,    44,  -160,   -19,    20,    17;
   -16,  -108,  -268,   -16,    18,    28;
  -144,   -72,  -160,   -10,    31,    10;
   -48,    -8,  -104,    14,    26,    44;
  -120,     4,  -240,   -13,   -15,     4;
  -116,   -32,  -156,     4,    14,    17;
   -60,    56,  -108,   -36,     3,    12;
   -32,   -32,  -136,    -9,    24,    50;
  -100,  -100,  -112,   -26,    12,    -8;
  -168,   -88,  -228,   -12,    25,     7;
  -152,  -136,   -60,   -22,     5,    -1;
   -84,   -64,  -108,   -25,    15,    32;
    80,   -76,  -108,    -2,   -22,    11;
   -84,   -76,  -100,    -1,    14,    20;
    -8,   -24,  -268,    -6,    12,    -1;
   -12,   -12,  -248,   -13,   -11,     9;
  -136,    52,   -88,     1,     5,    -7;
  -100,   -56,  -108,    -2,     9,    14;
     4,    68,  -164,   -10,   -13,     8;
   -44,   -32,   -60,     1,    18,     8;
   -92,    40,   -84,   -15,    -5,   -15;
    -8,     0,  -184,    -8,    22,     9;
  -100,   108,   -52,    -5,    -5,    -3;
  -100,   -12,  -232,   -33,    20,     7;
     0,    28,  -164,     7,    -1,    -1;
   -68,    96,   -72,   -11,     6,    19;
     0,   -12,  -164,    -7,    24,    22;
   -36,    20,   -52,   -18,    13,     9;
   -80,    28,    16,   -19,   -10,    17;
   -88,   -72,   -24,   -27,   -24,     5;
   -40,    -4,  -176,   -33,    13,    25;
  -140,    -8,  -128,   -15,    21,     7;
   -36,    32,  -168,   -17,     9,    14;
  -116,   -32,   -92,   -32,    -6,    20;
    -8,  -104,   -76,   -21,    27,    42;
   -52,   -56,  -124,    14,   -21,     6;
    68,   -28,  -116,   -19,    34,    22;
   -68,    44,  -136,   -24,    -3,     8;
   -96,   -28,  -104,     3,    33,    14;
   -48,    80,  -196,   -17,   -14,     4;
    -8,    28,  -140,   -12,    31,    22;
   -52,   -68,  -128,    -4,     2,     5;
   -72,   104,   -12,   -28,    25,    37;
  -128,    40,  -112,   -13,     8,    21;
   -56,   -16,  -136,     3,    17,     6;
  -156,   -56,    -8,   -20,    14,    30;
   -96,    48,  -128,    12,     6,    11;
  -128,     8,  -108,   -11,    22,     4;
  -148,   -40,  -124,     0,     4,    39;
  -140,   -28,  -184,   -24,    13,    12;
     4,   -80,  -200,     3,    10,    22;
   -56,   -72,  -132,     6,    15,    11;
  -116,   -64,    24,   -11,    12,    33;
   -28,   -40,   -80,     2,    -9,    34;
   -84,    76,     8,   -15,    26,     7;
   -16,   -48,   -92,   -42,    11,    32;
   -64,   -32,   -40,    -1,     5,    21;
    48,    64,  -164,   -18,     3,    19;
   -84,    28,  -136,     9,    29,     5;
   -76,     0,  -140,    14,    13,     4;
    44,   -48,   -68,   -22,     3,    33;
  -120,   -64,   -96,   -28,     6,   -16;
   -64,   -28,   -96,   -25,    15,    35;
  -116,   -80,  -320,   -40,     3,    23;
   -20,     0,  -144,   -10,    25,    63;
  -104,    24,   -56,    -7,    16,    25;
  -104,    12,  -220,   -14,    18,    33;
  -120,   -56,  -200,     1,    19,    48;
  -132,     8,   -68,    -4,    -2,     7;
   -92,  -108,  -192,    -4,    27,    12;
  -140,   -28,  -196,   -40,     0,    18;
