  2680,  4324,    -4,   -36,   221,  6275;
  6608,  3888, -1548,   130,  -157,  -451;
  1232,  4936, -2684,  1912,   340, -5757;
  4580, -3260,  -496,  1716,  -367,-21646;
  5716,  3588,  -820,   633, -1072,  1009;
 -2092, -1584,  2592,   820,  -226,    31;
   344, -1224,     0,   873,  -318,  -979;
    40, -1484,   -24,   367,   607,   538;
 -6072,  -108,  -564, -1561,   826,   -42;
 -2516, -3768,  1316, -1130,   411,  1388;
 -7580,  2208,  2676,  -841,  1326,  3196;
-11096, -6476,  -180,   111,  -275, -2132;
    40,  1436, -1188,  -243,   575, -2317;
  8320, -2936, -1544,  3094,   722, -6013;
  2652,  -704,  1604,   171,   443,  2335;
  3648, -1372,  1572,  1877,  -755,   163;
  8936,  -420, -1848,  -752, -1661,  1029;
 -3868,  3032, -2680, -3905,  1937,  2523;
 -2844,  -216,  1396,  -706,  -424, -2099;
  -124,   104,  -176,  -626,   832,    25;
 -7308,  1724,  -512, -1475, -1922,   885;
-10260, -7176, -1244,  -465,  -299,  2958;
 -1556, -1244, -5672,  -500, -1912,  -280;
  2580,  1284, -4672,   840, -2641, -1999;
  9348,    40,   728,   854,  -832, -5647;
  2644,  -628,  1800,   615,  -101,  1341;
  3620,  2484, -4472,   623, -1467,  -853;
   -84,   388,  -568,  -469,   314,   673;
-19568, -3204, -1064,  1697,  -328,  1188;
-12512,  1856, -2416, -1080,    83,  3731;
 -7240,   -16, -3532, -1275,  -650,  1926;
 -1124, -1996, -2592,    76,  -689, -1840;
  8112,  1236,  1664,  -295,  1092,  1796;
  4696,   764,    92,   521,  -210, -1529;
 12472,     4,   384,  -369,   818,  1076;
 -3932,  1860,  1696,   626,   292,  1232;
  -772,   -52, -2380,  1133,   122,  1924;
  6856,  -472, -3636,  -492,   -13,  1249;
  2900,    52, -3360,  -187,  -915,  -331;
   240,   120,  -168,  -109,    18,  1718;
 -4080,  4328, -6332,  -926,   228,  3856;
 -1572, -1964,  3084,   941,  1005, -4630;
  6056,    88,   812,  -886,  1036,  1292;
  2768, -3924,   620,   961,   188,  -977;
   972,   360,  -120,   176,   -60,   207;
  8232, -2164, -1880,  1815, -1038,   567;
  7212,  -152,  3348,  -629,  -407,  1240;
  2816,   476,  -200,   735,  -652,  -853;
  1388,  1336,  -344,   221,  -764,    66;
 -8144,   468,  1180, -1174,   633,   278;
-10660, -1404, -3408,  1292,  1211,  -407;
 -2864, -5076,   920,  -361,  -878,  6868;
 -3472, -2688, -2192, -1706,   905,   330;
 -2476, -2040,  1436,  1289, -1665, -1791;
  7276, -1808,   184, -4492,   -76, 32617;
  -252,  -864,   -68,  2294,  -739,-27319;
 -4720,  -972,  3008,   599,   891,  1171;
 -6540,  1708,   120,  2138, -1940,    52;
  4300,  -208, -1288,  -679,   259,  1230;
  3376, -2236,  -736,  -452,  1212,   -69;
  2728,  1628, -2368,    -1,  -489,  -573;
  -364,   176,  -176,  -225,   -59,  2667;
 -6472,   580,  -832,    65,  -371,   372;
  3416,  3008,  -180,  1197,   581, -6595;
  5832,  1132,    80,  -610,   691,  -401;
 11428, -2212,   412,  -234,  -955, -2288;
  7004,   -88,  -608,    74,  -227, -1995;
  6104,   524,  -472, -1683,  1352,  1988;
  -160,   980, -5152,  -605,   181,  1654;
 -4392,  1772,   580,  1877, -1217,  2096;
-11480, -1248,  3588,  1589, -1006,  -867;
   -60,   944,  -148,  -700,    65,  5668;
 -7184, -2496,   -76,  -381,  1574,   329;
 -1548, -6048,  1360,   758,   228,  1103;
   808, -1204,  1304,  -627,   105, -3006;
  7568,   344,   116,   943,  -701, -4222;
  6348, -1104,  1184,  -280,    54,  -657;
 10252, -1956,  -700,  2974, -4132,   747;
  6452, -2744, -1364,  -775,  2206,  4391;
 -4740,   104,  1352,  1487, -1406,  -511;
 -7456, -1064, -3324,  -332,   310, -2390;
-12520, -4176,  -608,  -943,  1394,  1942;
 -2376,   776, -1368, -1098,   219,  2713;
 -2944, -2168,  -360,   506,   499,-10592;
  7376,  2348, -3936,  -878,   -45,   336;
  9296,  -528,  1168,   769,   -26, -3157;
 -8552,  -832,  1640,   -74,  1151,  2843;
