  8364, -2564,   656,  2703,  -807, -2726;
  7576, -6368,  1840, -1097,  3019, -1064;
 10392,  1580,   952,  1286,  2335,  -404;
  3712, -2628,   100, -2006, -1538,   -32;
  5108,  2896,  -328,   -12,  -147,  -214;
  5352,  2816,  1544, -3333, -2266,  2153;
  7504, -3624,   952,  -607,   987,   538;
  3940, -2316,  -860,  1004, -1106,  -291;
  6532,  4844,  4280, -1596,  1594,  -328;
  4992,   932,  -408,   494,   704,   894;
  3912,  2444, -1748,   962, -3386,  -557;
  3980, -1648,  -416,  1684, -1019,  -780;
  4628, -9064,   236,    25, -2014,  -206;
  7672, -3892,   204,  -390,  1170,  -892;
  5336,  5116,  2036, -1178,  2267,  -589;
  5356,  2260,   108,  1332,  1829,  1130;
  2416,  3308, -1584,  1899,  1352,   395;
  5012, -2432,  -340,   371,   738,   160;
  5392, -3364,  -108,   282,  1538,  -281;
  6760,  3996,  1172, -1426,  1208,  1490;
  3512,  2028,  -756,    -6, -1383,  1722;
  2128,  4084, -1928,   134,  2521,   -93;
  5000,  -832,  -384,   -22,  -363,   -90;
  7268,  4756,  3628,   817,   833,   332;
  5864,  3812,  -696,  -788,   120,  -182;
  5420,  5568, -1332,   -56,    70,   729;
  9676,  -896,   644,   811,   470,  -500;
  5016,  -208,  -372,   306,  -159,  1811;
  1576, -6516, -2280,   428,    17,  -854;
  5096,  3564,  -436,  -129,  -465,   153;
  4268,  2964,    20,  1037,   329,   232;
  6324, -1620,  2132,  -715,  -915,    67;
  5420, -2768,  -508,   120,   912,   -13;
  4952, -3112, -1916,     1,  1767,   171;
  3968,  4820,  2240,   665,   492,   459;
  3976,   284,  -928,  -199,  1268, -2615;
  8388, -4056,   -56,  2159,  1675,   -63;
  4148,  -180,  -928,  -333,  1057,   227;
  3340, -4360,  -860,  1124,   629,  -640;
  3748,  -476, -1728,  2037, -1667,   628;
  4204,  2408,  1672,  -498, -2234,  -516;
  1956, -2480, -1888, -1463, -1562,  -356;
  4064,   248,  -940,  -973,  -162,   329;
  5464, -4268,  -312,   -46,  -140,  -219;
  3248, -2584, -4192,  -379,   240,   -27;
  4416,   -72,  -492,    28,   -10,   -40;
  2904,   476,   356,  -517, -2291, -1668;
  5420,   764, -1484,  -349,    23,    53;
  4696, -1120, -1156,   -82,   413,   291;
  2028,   984, -3932,  -563, -1188,   115;
  4488,   112,  -456,  -490,    24, -2395;
  2312,  -984,   472,  1769,  -259, -1008;
  4524, -1928, -2440,  -145,  -235,  -490;
  5216, -1672,  -860,  -548, -1058,   725;
  7648,  2416,  2772,  -207,  -149,   168;
  5052,  4180,   332,    36,  2122,  -507;
  4044, -2360, -1564,  1163,   537,   232;
  5500, -1184, -1520,  -634,  2120,  -927;
  5472, -4756, -2564, -2071,  1401,   508;
  6720,  6556,   -68,   910,   414,  2965;
  4976,  6164,  -112,  -229, -2804,  1067;
  4252,  -224, -2952,  1662, -1535, -1595;
  5936, -3140,  -544,  -176,  -581,  -331;
  4932, -6792, -2600,   688,   151, -1538;
  6096,  4728,   100,   347,  -218,  2263;
  5192,  1892,  -772,   -38,  -266,   559;
  6708,  1408,   520,  1946, -2534,   -47;
  5984, -4240,  -544,    62,   287,  -215;
  4968, -2220, -2368,  1160,  -281,  -819;
  3376,  2772,  -436,   796,  -298,   796;
  5896,  2176,  -704,   356,  -551,  -765;
  5780,  -184,   696,   312,  -200,   716;
  5424, -4336,  -660,    29,   172,   300;
  5340,  1568,  -216,  2385,   995, -1411;
